/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1801.4922240565013, 'AlphaViD_Large': 1598.2819510842548, 'AlphaVDA_Large': 1372.2939344757542, 'AlphaViT_Small': 1884.626596798375, 'AlphaViD_Small': 1757.9776059147098, 'AlphaVDA_Small': 1796.9508147708273, 'AlphaViT_Multi': 1171.6193181434166, 'AlphaViD_Multi': 1322.0860205048712, 'AlphaVDA_Multi': 1058.4992809983462, 'AlphaZero': 1938.9862449847067, 'Minimax': 1397.4337788595283, 'MCTS100': 1387.743005039645, 'MCTS400': 1531.9075628270782, 'random': 980.1016615419835}

{'AlphaViT_Large': 1793.9946740628027, 'AlphaViD_Large': 1596.398569071987, 'AlphaVDA_Large': 1388.1535866040192, 'AlphaViT_Small': 1887.4505237991218, 'AlphaViD_Small': 1787.7743801303152, 'AlphaVDA_Small': 1813.9098370395677, 'AlphaViT_Multi': 1153.8881088377175, 'AlphaViD_Multi': 1306.3665997300986, 'AlphaVDA_Multi': 1055.0572486716296, 'AlphaZero': 1933.721281245233, 'Minimax': 1380.2004103990719, 'MCTS100': 1380.4626478940895, 'MCTS400': 1545.3372157694012, 'random': 977.2849167449428}

{'AlphaViT_Large': 1796.137932494838, 'AlphaViD_Large': 1581.3230930920374, 'AlphaVDA_Large': 1379.6940743812183, 'AlphaViT_Small': 1897.6761556555189, 'AlphaViD_Small': 1798.5893754516828, 'AlphaVDA_Small': 1809.487044435088, 'AlphaViT_Multi': 1152.7508874745386, 'AlphaViD_Multi': 1304.7935947589701, 'AlphaVDA_Multi': 1044.1753899023602, 'AlphaZero': 1938.3076300780767, 'Minimax': 1387.0267182661553, 'MCTS100': 1394.7755316804466, 'MCTS400': 1555.9611377168262, 'random': 959.3014346122409}

{'AlphaViT_Large': 1806.350288892687, 'AlphaViD_Large': 1583.559371679215, 'AlphaVDA_Large': 1383.023011912182, 'AlphaViT_Small': 1899.293644874444, 'AlphaViD_Small': 1800.2910177592084, 'AlphaVDA_Small': 1817.4813646966925, 'AlphaViT_Multi': 1141.1030119617558, 'AlphaViD_Multi': 1294.8485319915785, 'AlphaVDA_Multi': 1049.1610383150335, 'AlphaZero': 1950.6599314186503, 'Minimax': 1388.7270188289094, 'MCTS100': 1373.4236686999134, 'MCTS400': 1554.2500278564157, 'random': 957.8280711133121}

{'AlphaViT_Large': 1795.4214785913293, 'AlphaViD_Large': 1591.9811409588021, 'AlphaVDA_Large': 1379.1782406070222, 'AlphaViT_Small': 1898.2079104102788, 'AlphaViD_Small': 1816.8746332040546, 'AlphaVDA_Small': 1824.1694399993346, 'AlphaViT_Multi': 1125.820679412173, 'AlphaViD_Multi': 1308.6005519567864, 'AlphaVDA_Multi': 1045.5991002996689, 'AlphaZero': 1946.4762984042518, 'Minimax': 1386.8095845011912, 'MCTS100': 1374.6896244942554, 'MCTS400': 1549.972361331243, 'random': 956.198955829606}

{'AlphaViT_Large': 1802.4954537707135, 'AlphaViD_Large': 1603.4801983375417, 'AlphaVDA_Large': 1384.5158140548922, 'AlphaViT_Small': 1901.1771929941888, 'AlphaViD_Small': 1805.842029765774, 'AlphaVDA_Small': 1814.3793262284935, 'AlphaViT_Multi': 1135.0891949971826, 'AlphaViD_Multi': 1313.1540321206994, 'AlphaVDA_Multi': 1041.9461825234946, 'AlphaZero': 1957.7376415786707, 'Minimax': 1381.4823116811606, 'MCTS100': 1384.3315814442365, 'MCTS400': 1534.783727826059, 'random': 939.5853126768899}

{'AlphaViT_Large': 1808.126520638735, 'AlphaViD_Large': 1602.3814568511814, 'AlphaVDA_Large': 1379.6734748666145, 'AlphaViT_Small': 1903.0079941321278, 'AlphaViD_Small': 1807.2279452173132, 'AlphaVDA_Small': 1822.1691605249723, 'AlphaViT_Multi': 1128.4564639368014, 'AlphaViD_Multi': 1339.2836177874522, 'AlphaVDA_Multi': 1038.8959418792365, 'AlphaZero': 1968.0644461019047, 'Minimax': 1377.1774653371733, 'MCTS100': 1386.172656185221, 'MCTS400': 1507.8076402966688, 'random': 931.5552162445948}

{'AlphaViT_Large': 1816.406716558314, 'AlphaViD_Large': 1579.4055799469224, 'AlphaVDA_Large': 1379.203938324499, 'AlphaViT_Small': 1913.5511814465804, 'AlphaViD_Small': 1801.742239073643, 'AlphaVDA_Small': 1827.921599076624, 'AlphaViT_Multi': 1122.0511916188152, 'AlphaViD_Multi': 1315.627580790204, 'AlphaVDA_Multi': 1028.5892674988775, 'AlphaZero': 1977.481672115925, 'Minimax': 1362.4598661907173, 'MCTS100': 1413.8151735518209, 'MCTS400': 1530.2797208479826, 'random': 931.4642729590706}

{'AlphaViT_Large': 1820.6102101246918, 'AlphaViD_Large': 1560.1618938182037, 'AlphaVDA_Large': 1387.4922393975671, 'AlphaViT_Small': 1918.5957230645033, 'AlphaViD_Small': 1804.2612380782218, 'AlphaVDA_Small': 1831.4674785570314, 'AlphaViT_Multi': 1116.680914208989, 'AlphaViD_Multi': 1332.3063533999662, 'AlphaVDA_Multi': 1018.7851343903933, 'AlphaZero': 1985.7618288763952, 'Minimax': 1349.510105022046, 'MCTS100': 1407.1784853310032, 'MCTS400': 1536.4850246400767, 'random': 930.7033710909075}

