/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1500.3755997267012, 'AlphaViD_Large': 1462.5788031283062, 'AlphaVDA_Large': 1529.3304811979726, 'AlphaViT_Small': 1736.0477754873461, 'AlphaViD_Small': 1751.6372960903755, 'AlphaVDA_Small': 1770.6606689571802, 'AlphaViT_Multi': 1390.9862831540026, 'AlphaViD_Multi': 1328.8484462493077, 'AlphaVDA_Multi': 1295.7486116473235, 'AlphaZero': 1761.1183136760183, 'Minimax': 1319.9418643123197, 'MCTS100': 1508.8292399480702, 'MCTS400': 1570.4866988100944, 'random': 1073.4099176149823}

{'AlphaViT_Large': 1493.0462246540073, 'AlphaViD_Large': 1468.0684659642357, 'AlphaVDA_Large': 1542.0219265114697, 'AlphaViT_Small': 1738.0955994670653, 'AlphaViD_Small': 1749.9335003251538, 'AlphaVDA_Small': 1773.062375538661, 'AlphaViT_Multi': 1389.4399490240357, 'AlphaViD_Multi': 1323.7775324846443, 'AlphaVDA_Multi': 1308.638692852072, 'AlphaZero': 1761.7932804201798, 'Minimax': 1334.4614611511574, 'MCTS100': 1513.8762543835687, 'MCTS400': 1548.5576744487664, 'random': 1055.2270627749836}

{'AlphaViT_Large': 1490.774436454533, 'AlphaViD_Large': 1465.9744460184822, 'AlphaVDA_Large': 1528.7987661498596, 'AlphaViT_Small': 1743.265975333947, 'AlphaViD_Small': 1753.130059685026, 'AlphaVDA_Small': 1767.4066119334666, 'AlphaViT_Multi': 1383.0106404994333, 'AlphaViD_Multi': 1319.629632536735, 'AlphaVDA_Multi': 1317.2313945121462, 'AlphaZero': 1769.707436100783, 'Minimax': 1335.7687709409176, 'MCTS100': 1507.2540057239719, 'MCTS400': 1559.9021286338984, 'random': 1058.1456954768007}

{'AlphaViT_Large': 1496.9807638604098, 'AlphaViD_Large': 1464.368534884133, 'AlphaVDA_Large': 1548.060122946723, 'AlphaViT_Small': 1739.5586983566147, 'AlphaViD_Small': 1752.550812042543, 'AlphaVDA_Small': 1774.1701143489927, 'AlphaViT_Multi': 1403.1621273175385, 'AlphaViD_Multi': 1308.2685471767663, 'AlphaVDA_Multi': 1317.440328078615, 'AlphaZero': 1772.291378210596, 'Minimax': 1327.91577004278, 'MCTS100': 1503.5945456740974, 'MCTS400': 1550.2667706260745, 'random': 1041.371486434117}

{'AlphaViT_Large': 1506.0022292465314, 'AlphaViD_Large': 1465.6241006787768, 'AlphaVDA_Large': 1538.459518316385, 'AlphaViT_Small': 1733.534382062226, 'AlphaViD_Small': 1758.5838612433254, 'AlphaVDA_Small': 1776.3872269582723, 'AlphaViT_Multi': 1386.956733609239, 'AlphaViD_Multi': 1314.522943752729, 'AlphaVDA_Multi': 1316.7338620877154, 'AlphaZero': 1778.7362606200074, 'Minimax': 1332.4768256123746, 'MCTS100': 1496.5890214330282, 'MCTS400': 1561.69818215823, 'random': 1033.69485222116}

{'AlphaViT_Large': 1502.668583600923, 'AlphaViD_Large': 1462.9655706726717, 'AlphaVDA_Large': 1544.9627522855628, 'AlphaViT_Small': 1736.0151061291024, 'AlphaViD_Small': 1764.3636049143015, 'AlphaVDA_Small': 1771.597077823738, 'AlphaViT_Multi': 1379.8207484301936, 'AlphaViD_Multi': 1322.5938049497506, 'AlphaVDA_Multi': 1316.7888558465093, 'AlphaZero': 1772.9160868573233, 'Minimax': 1323.6745458800303, 'MCTS100': 1494.0068866330744, 'MCTS400': 1577.434510726357, 'random': 1030.1918652504628}

{'AlphaViT_Large': 1513.5135715389831, 'AlphaViD_Large': 1460.412358092424, 'AlphaVDA_Large': 1546.9062904836028, 'AlphaViT_Small': 1734.6182265751402, 'AlphaViD_Small': 1758.1406782449087, 'AlphaVDA_Small': 1775.0186882133512, 'AlphaViT_Multi': 1385.8268015040387, 'AlphaViD_Multi': 1324.2259144853929, 'AlphaVDA_Multi': 1314.700871713628, 'AlphaZero': 1776.3016170717153, 'Minimax': 1329.3449735622264, 'MCTS100': 1489.9264075299377, 'MCTS400': 1571.4295020143004, 'random': 1019.634098970351}

{'AlphaViT_Large': 1519.2859603088682, 'AlphaViD_Large': 1466.3660491043004, 'AlphaVDA_Large': 1541.493512777817, 'AlphaViT_Small': 1736.888946773092, 'AlphaViD_Small': 1760.4237259435529, 'AlphaVDA_Small': 1777.1677477176006, 'AlphaViT_Multi': 1372.5957079401687, 'AlphaViD_Multi': 1319.0945914603033, 'AlphaVDA_Multi': 1319.4420264594385, 'AlphaZero': 1778.5033239890265, 'Minimax': 1331.1575774597547, 'MCTS100': 1503.616123011376, 'MCTS400': 1560.430344340743, 'random': 1013.5343627139589}

{'AlphaViT_Large': 1522.5891070861107, 'AlphaViD_Large': 1472.0726518494025, 'AlphaVDA_Large': 1537.9146383349328, 'AlphaViT_Small': 1738.7883476231248, 'AlphaViD_Small': 1754.1720859341297, 'AlphaVDA_Small': 1774.8390657086916, 'AlphaViT_Multi': 1380.5575505430343, 'AlphaViD_Multi': 1318.4489697946133, 'AlphaVDA_Multi': 1322.81549194672, 'AlphaZero': 1773.337791216112, 'Minimax': 1331.8218704952849, 'MCTS100': 1493.794458853986, 'MCTS400': 1562.9194168703013, 'random': 1015.9285537435563}

{'AlphaViT_Large': 1514.9536838772026, 'AlphaViD_Large': 1468.8490254919143, 'AlphaVDA_Large': 1540.8957468698043, 'AlphaViT_Small': 1736.57441987561, 'AlphaViD_Small': 1753.2775246134095, 'AlphaVDA_Small': 1777.4971344735052, 'AlphaViT_Multi': 1384.3531944868746, 'AlphaViD_Multi': 1325.4913743582877, 'AlphaVDA_Multi': 1323.5911857904757, 'AlphaZero': 1772.2658971713845, 'Minimax': 1333.3660469647214, 'MCTS100': 1501.3995136295348, 'MCTS400': 1561.0602710349474, 'random': 1006.4249813623283}

{'AlphaViT_Large': 1503.8593602520343, 'AlphaViD_Large': 1476.5698552917559, 'AlphaVDA_Large': 1552.5058133347698, 'AlphaViT_Small': 1734.3234111711608, 'AlphaViD_Small': 1760.117141419486, 'AlphaVDA_Small': 1775.2611360235737, 'AlphaViT_Multi': 1381.9082114332166, 'AlphaViD_Multi': 1331.296489842411, 'AlphaVDA_Multi': 1327.3833363086678, 'AlphaZero': 1767.9668811476943, 'Minimax': 1326.8946049392805, 'MCTS100': 1478.4234445235666, 'MCTS400': 1574.133163279939, 'random': 1009.3571510324433}

{'AlphaViT_Large': 1504.0474615029227, 'AlphaViD_Large': 1468.7317859223956, 'AlphaVDA_Large': 1542.3784431738488, 'AlphaViT_Small': 1733.089328425973, 'AlphaViD_Small': 1761.0385930508146, 'AlphaVDA_Small': 1781.4165282690399, 'AlphaViT_Multi': 1394.4277747601516, 'AlphaViD_Multi': 1317.8305492113973, 'AlphaVDA_Multi': 1328.2398264100173, 'AlphaZero': 1764.206041094418, 'Minimax': 1322.6499800201439, 'MCTS100': 1489.663733923396, 'MCTS400': 1588.1659009437608, 'random': 1004.1140532917204}

{'AlphaViT_Large': 1503.9395130456912, 'AlphaViD_Large': 1481.146288078079, 'AlphaVDA_Large': 1532.043799844352, 'AlphaViT_Small': 1739.3560327146863, 'AlphaViD_Small': 1762.847162257893, 'AlphaVDA_Small': 1782.6919991179068, 'AlphaViT_Multi': 1396.1794365689718, 'AlphaViD_Multi': 1321.425917654138, 'AlphaVDA_Multi': 1324.1629932654203, 'AlphaZero': 1765.3007690087902, 'Minimax': 1325.4636835799938, 'MCTS100': 1489.4356701681386, 'MCTS400': 1576.8258960700502, 'random': 999.1808386258889}

{'AlphaViT_Large': 1500.2467880197792, 'AlphaViD_Large': 1479.1554998086901, 'AlphaVDA_Large': 1544.3129398897468, 'AlphaViT_Small': 1737.043527986965, 'AlphaViD_Small': 1760.8192798786172, 'AlphaVDA_Small': 1775.6515917836023, 'AlphaViT_Multi': 1395.1266951514563, 'AlphaViD_Multi': 1314.639510072584, 'AlphaVDA_Multi': 1326.5593515087112, 'AlphaZero': 1773.7341989585186, 'Minimax': 1321.6609356861989, 'MCTS100': 1500.0420421122383, 'MCTS400': 1572.518328956386, 'random': 998.4893101865064}

{'AlphaViT_Large': 1497.9404849646562, 'AlphaViD_Large': 1473.3414093965653, 'AlphaVDA_Large': 1540.4605725975603, 'AlphaViT_Small': 1746.5852354217766, 'AlphaViD_Small': 1751.4643018709123, 'AlphaVDA_Small': 1782.162998137346, 'AlphaViT_Multi': 1386.8521528014705, 'AlphaViD_Multi': 1312.7704181728884, 'AlphaVDA_Multi': 1309.662912404524, 'AlphaZero': 1776.7161491189925, 'Minimax': 1328.28782398667, 'MCTS100': 1515.939375046087, 'MCTS400': 1583.6758558677054, 'random': 994.140310212846}

{'AlphaViT_Large': 1507.032167322917, 'AlphaViD_Large': 1465.772280403294, 'AlphaVDA_Large': 1543.777608420008, 'AlphaViT_Small': 1743.458688355916, 'AlphaViD_Small': 1743.2828711391426, 'AlphaVDA_Small': 1782.923405028636, 'AlphaViT_Multi': 1394.707680434352, 'AlphaViD_Multi': 1329.0038529370659, 'AlphaVDA_Multi': 1300.5967673166717, 'AlphaZero': 1772.0267577494658, 'Minimax': 1320.0542020206547, 'MCTS100': 1506.3868468074597, 'MCTS400': 1581.8410219227455, 'random': 1009.1358501416718}

{'AlphaViT_Large': 1506.7890104661597, 'AlphaViD_Large': 1461.1191898754257, 'AlphaVDA_Large': 1549.2469436639174, 'AlphaViT_Small': 1744.8487307608139, 'AlphaViD_Small': 1740.3093069596634, 'AlphaVDA_Small': 1784.618034204735, 'AlphaViT_Multi': 1387.841139796657, 'AlphaViD_Multi': 1333.825182399476, 'AlphaVDA_Multi': 1307.1669222385995, 'AlphaZero': 1764.2518409338647, 'Minimax': 1323.4781042572931, 'MCTS100': 1505.9484046462555, 'MCTS400': 1586.3831152565672, 'random': 1004.1740745405716}

{'AlphaViT_Large': 1507.3747685504159, 'AlphaViD_Large': 1474.1586740196542, 'AlphaVDA_Large': 1546.813617689844, 'AlphaViT_Small': 1737.5532694380863, 'AlphaViD_Small': 1741.3926396414445, 'AlphaVDA_Small': 1789.959340726191, 'AlphaViT_Multi': 1402.5740601847958, 'AlphaViD_Multi': 1330.5257477735777, 'AlphaVDA_Multi': 1298.6864050286142, 'AlphaZero': 1768.9694139653575, 'Minimax': 1297.6379800984548, 'MCTS100': 1507.2186420927444, 'MCTS400': 1590.2959953566533, 'random': 1006.8394454341669}

{'AlphaViT_Large': 1499.6580291681146, 'AlphaViD_Large': 1478.02691777169, 'AlphaVDA_Large': 1541.3862649195441, 'AlphaViT_Small': 1732.168021031925, 'AlphaViD_Small': 1745.780019170476, 'AlphaVDA_Small': 1786.007253004234, 'AlphaViT_Multi': 1407.0342064862732, 'AlphaViD_Multi': 1340.2751385907218, 'AlphaVDA_Multi': 1305.9120183747068, 'AlphaZero': 1769.843333343213, 'Minimax': 1302.4247313667174, 'MCTS100': 1503.4598297227956, 'MCTS400': 1586.3209403474011, 'random': 1001.7032967021872}

{'AlphaViT_Large': 1501.951206059206, 'AlphaViD_Large': 1466.7753518182033, 'AlphaVDA_Large': 1529.1199280872293, 'AlphaViT_Small': 1730.781206842761, 'AlphaViD_Small': 1742.0282476330606, 'AlphaVDA_Small': 1786.736365563819, 'AlphaViT_Multi': 1399.308653183326, 'AlphaViD_Multi': 1347.3470688763718, 'AlphaVDA_Multi': 1308.6180625010568, 'AlphaZero': 1773.777590088521, 'Minimax': 1298.7633841491784, 'MCTS100': 1523.0766620628542, 'MCTS400': 1582.8296899552838, 'random': 1008.8865831791293}

{'AlphaViT_Large': 1488.804160326104, 'AlphaViD_Large': 1468.2033735954246, 'AlphaVDA_Large': 1513.8624288809983, 'AlphaViT_Small': 1737.5105743599156, 'AlphaViD_Small': 1746.5640113389024, 'AlphaVDA_Small': 1782.8536438907142, 'AlphaViT_Multi': 1410.5196704553894, 'AlphaViD_Multi': 1345.816442104001, 'AlphaVDA_Multi': 1303.192246153534, 'AlphaZero': 1765.5149656403357, 'Minimax': 1331.8068992864394, 'MCTS100': 1509.3087360284537, 'MCTS400': 1588.3216071935549, 'random': 1007.7212407462332}

{'AlphaViT_Large': 1492.7226841454085, 'AlphaViD_Large': 1461.6172411347611, 'AlphaVDA_Large': 1526.2221928668698, 'AlphaViT_Small': 1743.2535163634634, 'AlphaViD_Small': 1742.7805117296384, 'AlphaVDA_Small': 1776.5972636579288, 'AlphaViT_Multi': 1417.4082739784358, 'AlphaViD_Multi': 1327.1514848597747, 'AlphaVDA_Multi': 1298.889970042544, 'AlphaZero': 1758.0821565849785, 'Minimax': 1311.5771774370726, 'MCTS100': 1523.2900481262693, 'MCTS400': 1602.4715096528853, 'random': 1017.9359694199696}

{'AlphaViT_Large': 1499.3652716986558, 'AlphaViD_Large': 1457.3584929841188, 'AlphaVDA_Large': 1521.517980793826, 'AlphaViT_Small': 1740.805534877412, 'AlphaViD_Small': 1747.2523851524033, 'AlphaVDA_Small': 1771.5884562906242, 'AlphaViT_Multi': 1430.540144036113, 'AlphaViD_Multi': 1335.4843382268093, 'AlphaVDA_Multi': 1295.2752878048175, 'AlphaZero': 1759.2615230726617, 'Minimax': 1306.232261758741, 'MCTS100': 1523.8894591025514, 'MCTS400': 1599.4662098421159, 'random': 1011.9626543591505}

{'AlphaViT_Large': 1503.6535403543617, 'AlphaViD_Large': 1458.0161411111133, 'AlphaVDA_Large': 1511.3522061971814, 'AlphaViT_Small': 1744.5865651704755, 'AlphaViD_Small': 1751.4847292226386, 'AlphaVDA_Small': 1778.1866457069407, 'AlphaViT_Multi': 1422.8608255603033, 'AlphaViD_Multi': 1320.5963461593851, 'AlphaVDA_Multi': 1307.224044886616, 'AlphaZero': 1763.967854740244, 'Minimax': 1320.8019157337237, 'MCTS100': 1525.0427548619975, 'MCTS400': 1578.1151874241293, 'random': 1014.1112428708897}

