/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1789.3929765087812, 'AlphaViD_Large': 1706.085738229874, 'AlphaVDA_Large': 1682.2947264301868, 'AlphaViT_Small': 1273.8556553901021, 'AlphaViD_Small': 1196.59804297324, 'AlphaVDA_Small': 1267.803275278806, 'AlphaViT_Multi': 1889.6213008967563, 'AlphaViD_Multi': 1689.6453326686249, 'AlphaVDA_Multi': 1630.5817932104942, 'AlphaZero': 2019.033879010511, 'Minimax': 1102.7273144611843, 'MCTS100': 1369.7943318654711, 'MCTS400': 1480.3004864539719, 'random': 902.2651466219959}

{'AlphaViT_Large': 1799.3507577532434, 'AlphaViD_Large': 1705.7701314857295, 'AlphaVDA_Large': 1688.430940295385, 'AlphaViT_Small': 1262.6516065866022, 'AlphaViD_Small': 1196.4820695606488, 'AlphaVDA_Small': 1279.4399517316338, 'AlphaViT_Multi': 1888.357198110915, 'AlphaViD_Multi': 1695.6448886442681, 'AlphaVDA_Multi': 1622.8613088475622, 'AlphaZero': 2029.1888073998566, 'Minimax': 1100.0371405832993, 'MCTS100': 1357.2415767859911, 'MCTS400': 1484.438409387706, 'random': 890.1052128271584}

{'AlphaViT_Large': 1793.8113689022425, 'AlphaViD_Large': 1715.7576462492784, 'AlphaVDA_Large': 1701.4206886155064, 'AlphaViT_Small': 1244.5779396851374, 'AlphaViD_Small': 1181.6845977067264, 'AlphaVDA_Small': 1279.7405243456471, 'AlphaViT_Multi': 1884.7783854785357, 'AlphaViD_Multi': 1692.9535365317126, 'AlphaVDA_Multi': 1630.54919783359, 'AlphaZero': 2046.1118885334076, 'Minimax': 1105.2956164688512, 'MCTS100': 1362.7106086250103, 'MCTS400': 1481.8907305437353, 'random': 878.7172704806173}

{'AlphaViT_Large': 1804.341736140323, 'AlphaViD_Large': 1709.5663620885016, 'AlphaVDA_Large': 1697.3814275537668, 'AlphaViT_Small': 1236.743655205341, 'AlphaViD_Small': 1168.1387678295682, 'AlphaVDA_Small': 1277.9644384594446, 'AlphaViT_Multi': 1893.0094737387185, 'AlphaViD_Multi': 1698.6724748956174, 'AlphaVDA_Multi': 1617.6398713615774, 'AlphaZero': 2050.221360574931, 'Minimax': 1105.1686135226973, 'MCTS100': 1372.9373282162428, 'MCTS400': 1500.475985652456, 'random': 867.7385047608122}

{'AlphaViT_Large': 1805.1715279347445, 'AlphaViD_Large': 1715.9722546310047, 'AlphaVDA_Large': 1702.5131309485753, 'AlphaViT_Small': 1236.2598116730167, 'AlphaViD_Small': 1178.816999451748, 'AlphaVDA_Small': 1279.8247946711242, 'AlphaViT_Multi': 1885.6993763996227, 'AlphaViD_Multi': 1696.02583199377, 'AlphaVDA_Multi': 1628.8458085610166, 'AlphaZero': 2054.466995253439, 'Minimax': 1086.3148316324136, 'MCTS100': 1367.7029532392157, 'MCTS400': 1505.2576553372212, 'random': 857.1280282730866}

{'AlphaViT_Large': 1799.6263286756102, 'AlphaViD_Large': 1714.979129997778, 'AlphaVDA_Large': 1712.9456365512235, 'AlphaViT_Small': 1218.3643405587034, 'AlphaViD_Small': 1176.316690388326, 'AlphaVDA_Small': 1280.5382278932877, 'AlphaViT_Multi': 1883.3131537475372, 'AlphaViD_Multi': 1721.0121414551706, 'AlphaVDA_Multi': 1633.9322279439239, 'AlphaZero': 2070.0018023244947, 'Minimax': 1068.85333235442, 'MCTS100': 1366.104941731471, 'MCTS400': 1499.3726122568164, 'random': 854.6394341212361}

{'AlphaViT_Large': 1809.4785317762564, 'AlphaViD_Large': 1711.2788074989064, 'AlphaVDA_Large': 1702.2255606616966, 'AlphaViT_Small': 1210.2469686864404, 'AlphaViD_Small': 1187.964218639642, 'AlphaVDA_Small': 1284.3164971569902, 'AlphaViT_Multi': 1892.480561155743, 'AlphaViD_Multi': 1722.8995374508427, 'AlphaVDA_Multi': 1642.0668109271853, 'AlphaZero': 2069.169830885832, 'Minimax': 1053.5692543242355, 'MCTS100': 1368.4544507997316, 'MCTS400': 1501.7753046247724, 'random': 844.0736654117239}

{'AlphaViT_Large': 1810.7436932685368, 'AlphaViD_Large': 1726.604249300778, 'AlphaVDA_Large': 1696.1645962944417, 'AlphaViT_Small': 1217.6563328145555, 'AlphaViD_Small': 1194.930403952528, 'AlphaVDA_Small': 1275.9532143689821, 'AlphaViT_Multi': 1892.8239959450016, 'AlphaViD_Multi': 1717.796023242332, 'AlphaVDA_Multi': 1646.5931240555321, 'AlphaZero': 2056.5881227230493, 'Minimax': 1047.2755431908954, 'MCTS100': 1374.406566979819, 'MCTS400': 1508.3145164947293, 'random': 834.1496173688174}

{'AlphaViT_Large': 1812.162588951979, 'AlphaViD_Large': 1734.8424408593132, 'AlphaVDA_Large': 1706.1503500906056, 'AlphaViT_Small': 1204.048969144332, 'AlphaViD_Small': 1200.868930312535, 'AlphaVDA_Small': 1263.3787497697217, 'AlphaViT_Multi': 1887.4187867768671, 'AlphaViD_Multi': 1712.7256834148125, 'AlphaVDA_Multi': 1635.6115651001212, 'AlphaZero': 2060.996334354026, 'Minimax': 1048.8760497191413, 'MCTS100': 1368.188144570403, 'MCTS400': 1532.0314364298504, 'random': 832.6999705062891}

{'AlphaViT_Large': 1822.02848667527, 'AlphaViD_Large': 1741.8230675185516, 'AlphaVDA_Large': 1703.922811749485, 'AlphaViT_Small': 1197.3371261182097, 'AlphaViD_Small': 1201.3299597385196, 'AlphaVDA_Small': 1270.0749514863555, 'AlphaViT_Multi': 1896.704035755982, 'AlphaViD_Multi': 1716.846036396055, 'AlphaVDA_Multi': 1637.7463578263066, 'AlphaZero': 2057.5841811393557, 'Minimax': 1039.0566653376084, 'MCTS100': 1351.8798798543314, 'MCTS400': 1525.105920479871, 'random': 838.5605199240954}

{'AlphaViT_Large': 1821.851306967882, 'AlphaViD_Large': 1737.10238932523, 'AlphaVDA_Large': 1702.3270308048307, 'AlphaViT_Small': 1209.4573310307771, 'AlphaViD_Small': 1205.1756825365426, 'AlphaVDA_Small': 1264.5249774161036, 'AlphaViT_Multi': 1902.2082533265536, 'AlphaViD_Multi': 1724.285162704178, 'AlphaVDA_Multi': 1640.239486908427, 'AlphaZero': 2073.7022545359623, 'Minimax': 1025.9957192051602, 'MCTS100': 1348.4147358039013, 'MCTS400': 1516.2933066234511, 'random': 828.4223628109969}

{'AlphaViT_Large': 1830.3930428595777, 'AlphaViD_Large': 1733.0617717849188, 'AlphaVDA_Large': 1712.4053161315103, 'AlphaViT_Small': 1218.9743838712136, 'AlphaViD_Small': 1200.9771721707657, 'AlphaVDA_Small': 1267.7696366843436, 'AlphaViT_Multi': 1910.5057070898408, 'AlphaViD_Multi': 1703.6640040672107, 'AlphaVDA_Multi': 1626.8841038583448, 'AlphaZero': 2073.1412495226095, 'Minimax': 1006.460356370418, 'MCTS100': 1346.0628027887701, 'MCTS400': 1543.4155803814797, 'random': 826.2848724189934}

{'AlphaViT_Large': 1827.2947381487397, 'AlphaViD_Large': 1737.5954930543026, 'AlphaVDA_Large': 1698.5239770289213, 'AlphaViT_Small': 1220.4664239346764, 'AlphaViD_Small': 1198.2249499692318, 'AlphaVDA_Small': 1292.1234205127112, 'AlphaViT_Multi': 1917.7198497031782, 'AlphaViD_Multi': 1709.5974584757414, 'AlphaVDA_Multi': 1638.0914073806664, 'AlphaZero': 2076.551056058194, 'Minimax': 996.3084303771313, 'MCTS100': 1347.7341419392574, 'MCTS400': 1523.3238511624304, 'random': 816.4448022548142}

{'AlphaViT_Large': 1830.728448093657, 'AlphaViD_Large': 1733.5657835543902, 'AlphaVDA_Large': 1702.3487418572083, 'AlphaViT_Small': 1207.352340280761, 'AlphaViD_Small': 1190.8809518591108, 'AlphaVDA_Small': 1283.094188831655, 'AlphaViT_Multi': 1909.178252804636, 'AlphaViD_Multi': 1707.8000006401792, 'AlphaVDA_Multi': 1651.9192898500796, 'AlphaZero': 2083.598737801924, 'Minimax': 1006.0582440193695, 'MCTS100': 1349.8761430387708, 'MCTS400': 1529.0153534860267, 'random': 814.5835238822286}

{'AlphaViT_Large': 1838.1609648861963, 'AlphaViD_Large': 1742.6117340027063, 'AlphaVDA_Large': 1700.7701111340211, 'AlphaViT_Small': 1210.9162052881875, 'AlphaViD_Small': 1188.2303888266867, 'AlphaVDA_Small': 1267.8832149109821, 'AlphaViT_Multi': 1913.3724424506363, 'AlphaViD_Multi': 1709.6028811303588, 'AlphaVDA_Multi': 1651.5226558451225, 'AlphaZero': 2090.356877768349, 'Minimax': 1017.9602614811071, 'MCTS100': 1343.1662441055241, 'MCTS400': 1520.1395578067531, 'random': 805.3064603633665}

{'AlphaViT_Large': 1837.3457080057055, 'AlphaViD_Large': 1742.9952658282753, 'AlphaVDA_Large': 1707.7606888729624, 'AlphaViT_Small': 1205.0069400652767, 'AlphaViD_Small': 1179.3055270281443, 'AlphaVDA_Small': 1254.4791284302983, 'AlphaViT_Multi': 1925.4778646914808, 'AlphaViD_Multi': 1703.9432142065016, 'AlphaVDA_Multi': 1648.0149618643868, 'AlphaZero': 2077.317584465216, 'Minimax': 1029.233055078851, 'MCTS100': 1354.7302843080338, 'MCTS400': 1530.1040762513683, 'random': 804.285700903498}

{'AlphaViT_Large': 1839.6583113207967, 'AlphaViD_Large': 1740.1448153787776, 'AlphaVDA_Large': 1713.2301028547188, 'AlphaViT_Small': 1207.7505666843408, 'AlphaViD_Small': 1181.9562321221106, 'AlphaVDA_Small': 1242.9397245743965, 'AlphaViT_Multi': 1935.5845035243512, 'AlphaViD_Multi': 1703.8960185902952, 'AlphaVDA_Multi': 1651.9110249872522, 'AlphaZero': 2069.4246362243102, 'Minimax': 1046.1644839074086, 'MCTS100': 1339.8911330697654, 'MCTS400': 1531.7521285960436, 'random': 795.6963181654326}

