/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1645.8208288496048, 'AlphaViD_Large': 1484.0822986238165, 'AlphaVDA_Large': 1259.8090745412785, 'AlphaViT_Small': 1734.8023009941373, 'AlphaViD_Small': 1750.7614719316794, 'AlphaVDA_Small': 1742.3070632403485, 'AlphaViT_Multi': 1632.924022636825, 'AlphaViD_Multi': 1384.8645065104188, 'AlphaVDA_Multi': 1205.2068917312333, 'AlphaZero': 1760.3100011864497, 'Minimax': 1370.1391708241974, 'MCTS100': 1370.919553405526, 'MCTS400': 1679.071900883593, 'random': 978.9809146408921}

{'AlphaViT_Large': 1643.5080068853724, 'AlphaViD_Large': 1479.976679184232, 'AlphaVDA_Large': 1261.4197929869306, 'AlphaViT_Small': 1744.0666088793284, 'AlphaViD_Small': 1753.5013834620086, 'AlphaVDA_Small': 1749.8236135626937, 'AlphaViT_Multi': 1637.3640974833668, 'AlphaViD_Multi': 1407.0835800304174, 'AlphaVDA_Multi': 1203.7034659147039, 'AlphaZero': 1768.3496270124233, 'Minimax': 1359.7534403617776, 'MCTS100': 1373.9334033482469, 'MCTS400': 1651.3767919903705, 'random': 966.1395088981278}

{'AlphaViT_Large': 1643.1157267481128, 'AlphaViD_Large': 1493.2531311566554, 'AlphaVDA_Large': 1247.1903559205107, 'AlphaViT_Small': 1747.5267228012076, 'AlphaViD_Small': 1755.3260807279464, 'AlphaVDA_Small': 1749.0520214668918, 'AlphaViT_Multi': 1632.6358151077939, 'AlphaViD_Multi': 1421.9949708385284, 'AlphaVDA_Multi': 1199.2519996720719, 'AlphaZero': 1782.4407947550105, 'Minimax': 1350.9081717158401, 'MCTS100': 1361.6437663259624, 'MCTS400': 1649.8756405073905, 'random': 965.7848022560773}

{'AlphaViT_Large': 1634.6051020338584, 'AlphaViD_Large': 1483.8977063490606, 'AlphaVDA_Large': 1247.407135328255, 'AlphaViT_Small': 1751.117118385074, 'AlphaViD_Small': 1753.2566933854127, 'AlphaVDA_Small': 1748.773079889574, 'AlphaViT_Multi': 1636.912005981362, 'AlphaViD_Multi': 1402.521064425786, 'AlphaVDA_Multi': 1210.307050458856, 'AlphaZero': 1779.8916830399485, 'Minimax': 1354.7500741481115, 'MCTS100': 1373.4974199221301, 'MCTS400': 1657.8579734364225, 'random': 965.205893216148}

{'AlphaViT_Large': 1639.5809872301954, 'AlphaViD_Large': 1493.226392753819, 'AlphaVDA_Large': 1239.1856909694598, 'AlphaViT_Small': 1750.3934139823452, 'AlphaViD_Small': 1756.3157338706064, 'AlphaVDA_Small': 1744.3045299622684, 'AlphaViT_Multi': 1628.9258318853206, 'AlphaViD_Multi': 1414.9672529999061, 'AlphaVDA_Multi': 1216.197608228203, 'AlphaZero': 1784.2636210895985, 'Minimax': 1346.476413821857, 'MCTS100': 1379.2108456423068, 'MCTS400': 1649.8609761843122, 'random': 957.0907013798004}

{'AlphaViT_Large': 1642.4923094801497, 'AlphaViD_Large': 1511.8125348948925, 'AlphaVDA_Large': 1239.8851328042997, 'AlphaViT_Small': 1745.782487274066, 'AlphaViD_Small': 1757.9426026081314, 'AlphaVDA_Small': 1744.3121155805106, 'AlphaViT_Multi': 1605.8758060155305, 'AlphaViD_Multi': 1413.3534491699684, 'AlphaVDA_Multi': 1198.150313289698, 'AlphaZero': 1780.869443141833, 'Minimax': 1369.01201359462, 'MCTS100': 1385.2678465235033, 'MCTS400': 1651.643893770898, 'random': 953.6000518518981}

{'AlphaViT_Large': 1635.1870447197896, 'AlphaViD_Large': 1500.3611341703386, 'AlphaVDA_Large': 1236.3730696423866, 'AlphaViT_Small': 1756.3923886912119, 'AlphaViD_Small': 1756.0051914110409, 'AlphaVDA_Small': 1752.3051928759126, 'AlphaViT_Multi': 1608.019272076764, 'AlphaViD_Multi': 1386.267786987862, 'AlphaVDA_Multi': 1217.0191891770728, 'AlphaZero': 1785.440365076767, 'Minimax': 1387.4222675017818, 'MCTS100': 1383.9001757414349, 'MCTS400': 1645.060912571804, 'random': 950.2460093558334}

{'AlphaViT_Large': 1646.828632889504, 'AlphaViD_Large': 1502.445584221032, 'AlphaVDA_Large': 1262.3542939113142, 'AlphaViT_Small': 1753.5901285097914, 'AlphaViD_Small': 1754.3318506200658, 'AlphaVDA_Small': 1746.7675901157513, 'AlphaViT_Multi': 1599.7196642427582, 'AlphaViD_Multi': 1382.7274436025775, 'AlphaVDA_Multi': 1217.6541185264082, 'AlphaZero': 1789.0649313530862, 'Minimax': 1382.2783216690166, 'MCTS100': 1374.8532844289707, 'MCTS400': 1644.0559847717495, 'random': 943.3281711379739}

