/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1926.9806396189313, 'AlphaViD_Large': 1674.8206056358463, 'AlphaVDA_Large': 1623.9894030321623, 'AlphaViT_Small': 1556.3640005460434, 'AlphaViD_Small': 1470.5427957315715, 'AlphaVDA_Small': 1021.733306058647, 'AlphaViT_Multi': 1966.781880196507, 'AlphaViD_Multi': 1487.175566188251, 'AlphaVDA_Multi': 1588.8614158090222, 'AlphaZero': 2014.1002235888195, 'Minimax': 1489.3735784302826, 'MCTS100': 1204.336431699512, 'MCTS400': 1153.6181567013698, 'random': 821.321996763032}

{'AlphaViT_Large': 1927.404423971591, 'AlphaViD_Large': 1669.260380158105, 'AlphaVDA_Large': 1632.0221963664235, 'AlphaViT_Small': 1527.2163435576604, 'AlphaViD_Small': 1471.0971576117936, 'AlphaVDA_Small': 1011.1937134663463, 'AlphaViT_Multi': 1969.8730448525516, 'AlphaViD_Multi': 1492.8619871220437, 'AlphaVDA_Multi': 1596.916068765571, 'AlphaZero': 2026.9868457134558, 'Minimax': 1493.8202775508475, 'MCTS100': 1195.5649795104725, 'MCTS400': 1173.6874904949111, 'random': 812.0950908582245}

{'AlphaViT_Large': 1919.8939384846808, 'AlphaViD_Large': 1677.6378995728826, 'AlphaVDA_Large': 1626.5912194741695, 'AlphaViT_Small': 1510.2029506906601, 'AlphaViD_Small': 1478.4188797366664, 'AlphaVDA_Small': 1009.1681910825328, 'AlphaViT_Multi': 1987.9366368616993, 'AlphaViD_Multi': 1511.884152782005, 'AlphaVDA_Multi': 1568.6181450678507, 'AlphaZero': 2030.9682743110548, 'Minimax': 1512.101878044999, 'MCTS100': 1194.8879141973732, 'MCTS400': 1168.4239984461356, 'random': 803.2659212472886}

{'AlphaViT_Large': 1940.44973954807, 'AlphaViD_Large': 1684.3658620110682, 'AlphaVDA_Large': 1613.2034012803108, 'AlphaViT_Small': 1503.5440018148838, 'AlphaViD_Small': 1471.8846505314243, 'AlphaVDA_Small': 1007.3933961942721, 'AlphaViT_Multi': 1988.769366446997, 'AlphaViD_Multi': 1519.0703456669269, 'AlphaVDA_Multi': 1572.707190857768, 'AlphaZero': 2016.3534883824564, 'Minimax': 1506.5301870691562, 'MCTS100': 1179.2504394460832, 'MCTS400': 1201.658923703586, 'random': 794.8190070469956}

{'AlphaViT_Large': 1947.4222484114523, 'AlphaViD_Large': 1691.5739144926538, 'AlphaVDA_Large': 1618.3865349580599, 'AlphaViT_Small': 1490.0277872953372, 'AlphaViD_Small': 1471.7969438071025, 'AlphaVDA_Small': 997.8338354720656, 'AlphaViT_Multi': 1997.0670254311963, 'AlphaViD_Multi': 1513.441444187115, 'AlphaVDA_Multi': 1574.5630076644213, 'AlphaZero': 2029.92357236018, 'Minimax': 1500.0489297601614, 'MCTS100': 1180.921048463486, 'MCTS400': 1192.3919991917232, 'random': 794.6017085050441}

{'AlphaViT_Large': 1953.6635158769702, 'AlphaViD_Large': 1689.387505134845, 'AlphaVDA_Large': 1606.7116474256504, 'AlphaViT_Small': 1485.7223378369185, 'AlphaViD_Small': 1464.9687544952042, 'AlphaVDA_Small': 1004.0587146490376, 'AlphaViT_Multi': 2005.0471561315403, 'AlphaViD_Multi': 1513.1019466444448, 'AlphaVDA_Multi': 1563.3757769982321, 'AlphaZero': 2035.0984114675675, 'Minimax': 1511.0323451602746, 'MCTS100': 1188.5742831608088, 'MCTS400': 1192.8201116281766, 'random': 786.4374933903281}

{'AlphaViT_Large': 1960.232400608042, 'AlphaViD_Large': 1702.7399833430975, 'AlphaVDA_Large': 1610.7960949132741, 'AlphaViT_Small': 1496.864792681867, 'AlphaViD_Small': 1488.499814269919, 'AlphaVDA_Small': 994.6460391166529, 'AlphaViT_Multi': 2005.0894772843367, 'AlphaViD_Multi': 1505.4835938620172, 'AlphaVDA_Multi': 1547.3470756507434, 'AlphaZero': 2031.895275729532, 'Minimax': 1497.0395166947217, 'MCTS100': 1189.340065737051, 'MCTS400': 1191.5125455138311, 'random': 778.513324594913}

{'AlphaViT_Large': 1954.3956873009997, 'AlphaViD_Large': 1709.4152224585544, 'AlphaVDA_Large': 1602.4376022414476, 'AlphaViT_Small': 1496.0525763339867, 'AlphaViD_Small': 1498.7449243493222, 'AlphaVDA_Small': 985.973340591905, 'AlphaViT_Multi': 2020.7672968003142, 'AlphaViD_Multi': 1507.4657384050313, 'AlphaVDA_Multi': 1556.0587754165106, 'AlphaZero': 2033.0650871445898, 'Minimax': 1485.0628514473303, 'MCTS100': 1188.2851430531643, 'MCTS400': 1183.5429971158976, 'random': 778.7327573409452}

{'AlphaViT_Large': 1960.2855815133926, 'AlphaViD_Large': 1682.483778777648, 'AlphaVDA_Large': 1578.4658452531678, 'AlphaViT_Small': 1513.419411785643, 'AlphaViD_Small': 1502.7482745167845, 'AlphaVDA_Small': 985.6022965335598, 'AlphaViT_Multi': 2012.0972592231205, 'AlphaViD_Multi': 1523.1815243963854, 'AlphaVDA_Multi': 1570.3219154432295, 'AlphaZero': 2046.2356846100702, 'Minimax': 1459.124148191115, 'MCTS100': 1210.6873060886346, 'MCTS400': 1184.4918413467483, 'random': 770.8551323204998}

{'AlphaViT_Large': 1965.4685287667216, 'AlphaViD_Large': 1704.4691349722777, 'AlphaVDA_Large': 1550.8074760000022, 'AlphaViT_Small': 1527.9566501748966, 'AlphaViD_Small': 1518.2440814034835, 'AlphaVDA_Small': 1007.8783220962812, 'AlphaViT_Multi': 1996.1892352703985, 'AlphaViD_Multi': 1529.4669142260077, 'AlphaVDA_Multi': 1545.3479521276615, 'AlphaZero': 2035.2788770670224, 'Minimax': 1484.9486959859591, 'MCTS100': 1200.0537014320312, 'MCTS400': 1170.4873707856816, 'random': 763.4030596915742}

{'AlphaViT_Large': 1947.2733019142302, 'AlphaViD_Large': 1701.015355386388, 'AlphaVDA_Large': 1581.0069864609954, 'AlphaViT_Small': 1525.2376432080869, 'AlphaViD_Small': 1525.1771456751494, 'AlphaVDA_Small': 1005.3939775414942, 'AlphaViT_Multi': 2012.5330647947862, 'AlphaViD_Multi': 1533.4668728276627, 'AlphaVDA_Multi': 1525.0585692858351, 'AlphaZero': 2040.020650588076, 'Minimax': 1483.3512066031567, 'MCTS100': 1199.114420531544, 'MCTS400': 1164.9654379799688, 'random': 756.3853672026258}

{'AlphaViT_Large': 1954.3778041140424, 'AlphaViD_Large': 1720.0095881580153, 'AlphaVDA_Large': 1575.6573933714367, 'AlphaViT_Small': 1523.464801726662, 'AlphaViD_Small': 1523.6508906416577, 'AlphaVDA_Small': 995.1801654698488, 'AlphaViT_Multi': 2027.5129648376146, 'AlphaViD_Multi': 1537.1102560838976, 'AlphaVDA_Multi': 1517.14213745441, 'AlphaZero': 2036.9139304541675, 'Minimax': 1474.2137625037085, 'MCTS100': 1198.053761326875, 'MCTS400': 1167.1604349485035, 'random': 749.5521089091594}

